CLASSIFIER,F1,ACC
random forrest,0.6054434242918086,0.6239316239316239
decision tree,0.476678530282507,0.4757834757834758
mlp,0.0009312070771737865,0.03418803418803419
NB,0.30903214777489835,0.34472934472934474
SVM,0.0009312070771737865,0.03418803418803419
