CLASSIFIER,F1
random forrest,0.6582653817642697
decision tree,0.5178701677607587
mlp,0.1562198649951784
SVM,0.1562198649951784
svn_H,0.12968299711815562
random_forrest_H,0.6362979031091829
decision tree H,0.5691527878349022
mlp_H,0.014409221902017292
